=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.04.08 13:18:34 =~=~=~=~=~=~=~=~=~=~=~=
>-240 68 2323 -14 36 32
>-243 71 2318 -16 41 36
>-248 76 2314 -20 38 31
>-253 73 2323 -18 40 24
>-250 79 2321 -12 40 32
>-245 81 2327 -9 35 29
>-246 77 2314 -15 34 29
>-232 73 2313 -13 40 31
>-234 73 2327 -14 38 29
>-235 64 2330 -18 39 28
>-234 62 2322 -16 36 26
>-237 66 2318 -19 37 25
>-241 60 2320 -16 43 28
>-240 57 2323 -15 39 23
>-248 63 2322 -16 43 21
>-251 65 2322 -9 41 28
>-254 67 2328 -13 36 32
>-252 73 2323 -12 39 33
>-245 76 2326 -14 42 32
>-245 74 2320 -20 40 29
>-242 80 2322 -17 40 31
>-236 70 2326 -13 37 31
>-234 67 2324 -19 39 30
>-236 64 2322 -17 43 32
>-240 63 2319 -18 45 32
>-245 64 2322 -16 42 29
>-243 66 2325 -9 33 29
>-246 71 2325 -15 37 34
>-248 74 2326 -17 44 31
>-245 72 2329 -18 42 33
>-245 76 2324 -13 37 27
>-244 73 2326 -17 37 20
>-239 73 2325 -15 43 26
>-243 68 2324 -17 40 30
>-241 66 2321 -17 38 29
>-243 66 2321 -17 38 23
>-239 65 2322 -19 39 27
>-239 64 2320 -14 44 27
>-243 66 2319 -13 40 27
>-240 67 2321 -16 33 30
>-241 68 2322 -14 36 29
>-237 66 2318 -14 40 30
>-238 64 2324 -18 41 36
>-245 70 2323 -18 46 35
>-242 69 2319 -16 36 31
>-246 74 2326 -19 39 28
>-251 70 2317 -14 40 32
>-251 63 2315 -12 41 33
>-247 64 2319 -10 32 29
>-244 67 2322 -8 35 26
>-246 68 2321 -14 38 30
>-236 69 2316 -15 39 34
>-238 68 2317 -13 38 32
>-242 68 2325 -18 37 29
>-242 66 2326 -20 40 32
>-239 65 2318 -16 41 35
>-238 65 2320 -14 40 30
>-242 67 2323 -12 43 33
>-248 69 2320 -13 38 38
>-241 68 2327 -16 41 34
>-249 72 2328 -12 42 35
>-245 65 2318 -21 34 32
>-243 73 2323 -6 38 29
>-237 72 2324 -11 33 35
>-242 72 2325 -12 41 29
>-241 70 2325 -17 30 26
>-242 75 2323 -14 39 25
>-243 69 2318 -14 42 35
>-243 71 2319 -11 39 27
>-246 70 2325 -16 37 20
>-249 64 2323 -18 40 24
>-250 62 2317 -19 39 26
>-250 59 2317 -12 38 29
>-252 56 2321 -12 39 35
>-246 55 2321 -16 41 38
>-240 60 2322 -12 41 40
>-241 64 2318 -8 33 37
>-242 71 2320 -10 39 39
>-241 76 2325 -8 35 35
>-239 75 2327 -4 41 34
>-237 78 2320 -12 40 30
>-241 80 2321 -14 35 31
>-241 78 2320 -22 39 32
>-242 75 2313 -14 41 31
>-248 76 2327 -14 36 34
>-247 72 2322 -15 33 26
>-243 69 2315 -17 38 31
>-242 64 2313 -16 44 30
>-237 66 2316 -15 41 23
>-240 65 2321 -16 39 26
>-242 65 2323 -17 42 21
>-240 64 2326 -17 41 25
>-241 64 2324 -17 34 24
>-243 64 2317 -15 34 32
>-249 67 2320 -18 40 30
>-246 70 2325 -15 40 28
>-245 68 2327 -9 40 34
>-246 66 2322 -11 39 35
>-242 69 2324 -18 33 33
>-246 68 2328 -15 32 31
>-245 74 2322 -8 39 29
>-240 71 2317 -14 37 30
>-240 68 2319 -15 40 30
>-241 74 2319 -16 44 28
>-239 72 2324 -21 37 37
>-244 75 2321 -12 36 34
>-249 74 2320 -18 43 32
>-242 72 2324 -17 40 34
>-243 75 2326 -10 33 30
>-245 72 2321 -15 35 27
>-246 67 2322 -15 44 21
>-241 64 2329 -19 40 26
>-241 61 2321 -12 40 32
>-242 58 2313 -24 36 26
>-244 63 2321 -10 41 28
>-244 61 2329 -13 37 33
>-246 64 2322 -16 36 35
>-251 71 2321 -17 41 31
>-249 85 2326 -4 33 28
>-245 89 2324 -11 36 22
>-239 86 2321 -22 42 17
>-236 79 2326 -15 40 12
>-234 68 2330 -27 34 11
>-242 57 2319 -29 44 22
>-244 43 2318 -20 45 28
>-248 46 2325 -17 39 37
>-250 50 2324 -24 43 37
>-254 53 2318 -16 39 34
>-249 58 2324 -7 36 32
>-249 77 2320 -7 38 28
>-238 84 2321 -7 38 28
>-234 91 2327 -3 37 24
>-239 89 2332 -14 41 28
>-242 85 2326 -25 44 32
>-241 76 2326 -19 42 38
>-250 68 2322 -18 39 37
